"","Target","Bee_ID","Ct","SD","Replicate","Exp_ID","Gut_dissection_batch","DNA_Plate","Plate_Well","Robot_DNAextraction_Batch","Treatment","actin_Ct","actin_CopyNum","CopyNum","CopyNum_norm"
"162","univ",170,21.2022423333333,0.199609879939177,9,"17.250","7","2","B10","2","MD",24.3035873333333,2413475,52317787,57999664
"163","univ",171,26.9327235,0.0258143472607775,9,"17.331","7","2","C10","2","MD",24.365595,2314011,960654,1110761
"164","univ",172,28.050934,0.1855754822195,9,"17.298","7","2","D10","2","MD",26.0344283333333,745523,440351,1580363
"165","univ",173,27.7798855,0.257497884116549,9,"17.262","7","2","E10","2","MD",23.630246,3811679,532003,373436
"166","univ",174,27.4013046666667,0.0771588773008875,9,"17.72","7","2","F10","2","MD",24.0516853333333,2863474,692800,647342
"167","univ",175,27.6239795,0.254000533976802,9,"17.135","7","2","G10","2","MD",23.541195,4049160,593126,391923
"168","univ",176,28.755805,0.0871325260049314,9,"17.220","7","2","H10","2","MD",26.072195,726657,269311,991616
"169","univ",177,27.7679716666667,0.105776025380675,9,"17.117","7","2","A11","2","MD",24.5697063333333,2014660,536443,712428
"170","univ",178,26.8953436666667,0.340819911572569,9,"17.192","7","2","B11","2","MD",24.793239,1731065,986033,1524042
"171","univ",179,18.6497516666667,0.153319713945511,9,"18.30","7","2","C11","2","CL",25.0760453333333,1428741,310413914,581308384
"172","univ",180,17.793009,0.13364382028736,9,"18.299","7","2","D11","2","CL",24.7963273333333,1727440,564282169,874001685
"173","univ",181,18.312321,0.13414674283038,9,"18.173","7","2","E11","2","CL",24.2749793333333,2460794,392796629,427082137
"174","univ",182,18.3910243333333,0.182413978963601,9,"18.85","7","2","F11","2","CL",25.758915,898817,371812616,1106806647
"175","univ",183,18.3525153333333,0.178685922927166,9,"18.148","7","2","G11","2","CL",25.3203696666667,1210422,381936045,844253273
"176","univ",184,17.833704,0.176013019972954,9,"18.262","7","2","H11","2","CL",23.3363146666667,4653239,548488519,315377784
"177","univ",185,16.90167,0.0908773635180963,9,"18.347","7","2","A12","2","CL",23.8044903333333,3386540,1050830413,830224105
"178","univ",186,15.945188,0.0173608856916921,9,"18.98","7","2","B12","2","CL",22.5689706666667,7833162,2047879454,699497546
"179","univ",187,16.865182,0.173179965735068,9,"18.43","7","2","C12","2","CL",23.93436,3100816,1077920879,930100339
"180","univ",188,18.0375626666667,0.19325243466858,9,"18.64","7","2","D12","2","CL",24.0730356666667,2822279,475781311,451051726
